Product,Created_at,UF,Unit,volume,year_month
QUEROSENE DE AVIAÇÃO (m3),2000,TOCANTINS,m3,394.135,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,MARANHÃO,m3,2608.926,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,PIAUÍ,m3,2051.517,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,CEARÁ,m3,9408.769,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,RIO GRANDE DO NORTE,m3,3747.394,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,PARAÍBA,m3,708.645,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,PERNAMBUCO,m3,18508.504,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,ALAGOAS,m3,2506.792,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,SERGIPE,m3,1117.515,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,BAHIA,m3,18744.822,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,MINAS GERAIS,m3,9614.979,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,ESPÍRITO SANTO,m3,1548.918,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,RIO DE JANEIRO,m3,51930.742,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,SÃO PAULO,m3,159757.689,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,PARANÁ,m3,13175.151,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,SANTA CATARINA,m3,7126.649,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,RIO GRANDE DO SUL,m3,9318.58,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,MATO GROSSO DO SUL,m3,2278.168,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,MATO GROSSO,m3,2566.904,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,GOIÁS,m3,5706.297,2000-01-01
QUEROSENE DE AVIAÇÃO (m3),2000,DISTRITO FEDERAL,m3,20081.804,2000-01-01
ÓLEO DIESEL (m3),2000,RONDÔNIA,m3,47445.936,2000-01-01
ÓLEO DIESEL (m3),2000,ACRE,m3,18025.337,2000-01-01
ÓLEO DIESEL (m3),2000,AMAZONAS,m3,50004.659,2000-01-01
ÓLEO DIESEL (m3),2000,RORAIMA,m3,13675.733,2000-01-01
ÓLEO DIESEL (m3),2000,PARÁ,m3,78637.609,2000-01-01
ÓLEO DIESEL (m3),2000,AMAPÁ,m3,12191.435,2000-01-01
ÓLEO DIESEL (m3),2000,TOCANTINS,m3,26250.62,2000-01-01
ÓLEO DIESEL (m3),2000,MARANHÃO,m3,46337.618,2000-01-01
ÓLEO DIESEL (m3),2000,PIAUÍ,m3,19028.163,2000-01-01
ÓLEO DIESEL (m3),2000,CEARÁ,m3,45078.541,2000-01-01
ÓLEO DIESEL (m3),2000,RIO GRANDE DO NORTE,m3,28048.25,2000-01-01
ÓLEO DIESEL (m3),2000,PARAÍBA,m3,23442.5,2000-01-01
ÓLEO DIESEL (m3),2000,PERNAMBUCO,m3,69053.248,2000-01-01
ÓLEO DIESEL (m3),2000,ALAGOAS,m3,26579.8,2000-01-01
ÓLEO DIESEL (m3),2000,SERGIPE,m3,17465.616,2000-01-01
ÓLEO DIESEL (m3),2000,BAHIA,m3,147901.953,2000-01-01
ÓLEO DIESEL (m3),2000,MINAS GERAIS,m3,314501.824,2000-01-01
ÓLEO DIESEL (m3),2000,ESPÍRITO SANTO,m3,53431.853,2000-01-01
ÓLEO DIESEL (m3),2000,RIO DE JANEIRO,m3,151108.467,2000-01-01
ÓLEO DIESEL (m3),2000,SÃO PAULO,m3,594406.648,2000-01-01
ÓLEO DIESEL (m3),2000,PARANÁ,m3,201503.126,2000-01-01
ÓLEO DIESEL (m3),2000,SANTA CATARINA,m3,112032.468,2000-01-01
ÓLEO DIESEL (m3),2000,RIO GRANDE DO SUL,m3,191977.095,2000-01-01
ÓLEO DIESEL (m3),2000,MATO GROSSO DO SUL,m3,60078.234,2000-01-01
ÓLEO DIESEL (m3),2000,MATO GROSSO,m3,103352.364,2000-01-01
ÓLEO DIESEL (m3),2000,GOIÁS,m3,87944.946,2000-01-01
